occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species
"IPB-2000SR-RN004-ST1-FN007","Brotiaadicea","Animalia","1","HIGHERRANK","99","ACCEPTED","KINGDOM","Animalia",,,,,,
"IPB-2000SR-RN004-ST1-FN008","Melanoides riqueti","Melanoides riqueti (Grateloup, 1840)","7769819","EXACT","99","SYNONYM","SPECIES","Animalia","Mollusca","Gastropoda",,"Thiaridae","Sermyla","Sermyla riqueti"
"IPB-2000SR-RN004-ST1-FN009","Syncera nitida","Syncera nitida","8914392","EXACT","100","ACCEPTED","SPECIES","Animalia","Mollusca","Gastropoda",,"Stomatellidae","Syncera","Syncera nitida"
"IPB-2000SR-RN004-ST2-FN001","Melanoides tuberculata","Melanoides tuberculata (O.F.Müller, 1774)","4362965","EXACT","100","ACCEPTED","SPECIES","Animalia","Mollusca","Gastropoda",,"Thiaridae","Melanoides","Melanoides tuberculata"
"IPB-2000SR-RN004-ST2-FN002","Brotiaadicea","Animalia","1","HIGHERRANK","99","ACCEPTED","KINGDOM","Animalia",,,,,,
"IPB-2000SR-RN004-ST3-FN001","Melanoides torulosa","Melanoides Olivier, 1804","2300936","HIGHERRANK","95","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Thiaridae","Melanoides",
"IPB-2000SR-RN004-ST3-FN003","Melanoides riqueti","Melanoides riqueti (Grateloup, 1840)","7769819","EXACT","99","SYNONYM","SPECIES","Animalia","Mollusca","Gastropoda",,"Thiaridae","Sermyla","Sermyla riqueti"
"IPB-2001IS-RN007-ST1-FN002","Tubificidae","Tubificidae","6962","EXACT","97","ACCEPTED","FAMILY","Animalia","Annelida","Clitellata","Haplotaxida","Tubificidae",,
"IPB-2001IS-RN007-ST1-FN007","Ephemerella","Ephemerella Walsh, 1862","1407473","EXACT","96","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Ephemerella",
"IPB-2001IS-RN007-ST1-FN009","Brotia","Brotia H.Adams, 1866","4617180","EXACT","96","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Pachychilidae","Brotia",
