eventID,occurrenceID,basisOfRecord,eventDate,kingdom,scientificName,taxonRank,vernacularName,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,identificationReferences,remarks
USU-2011VP-RS012-ST001,USU-2011VP-RS012-ST001-MA039,humanobservation,2009-05,animalia,Pseudanthias Squamipinnis,species,,5.8837222,95.259,WGS84,ID,,0.22,individu/m2,present,Allen et  al (2003),
USU-2011VP-RS012-ST001,USU-2011VP-RS012-ST001-MA040,humanobservation,2009-05,animalia,Pseudanthias sp,genus,,5.8837222,95.259,WGS84,ID,,0.275,individu/m2,present,Allen et  al (2003),
USU-2011VP-RS012-ST001,USU-2011VP-RS012-ST001-MA041,humanobservation,2009-05,animalia,Scarus altipinis,species,,5.8837222,95.259,WGS84,ID,,0.035,individu/m2,present,Allen et  al (2003),
USU-2011VP-RS012-ST001,USU-2011VP-RS012-ST001-MA042,humanobservation,2009-05,animalia,Scarus niger,species,,5.8837222,95.259,WGS84,ID,,0.045,individu/m2,present,Allen et  al (2003),
USU-2011VP-RS012-ST001,USU-2011VP-RS012-ST001-MA043,humanobservation,2009-05,animalia,Scolopsis taeniopterus,species,,5.8837222,95.259,WGS84,ID,,0.21,individu/m2,present,Allen et  al (2003),
USU-2011VP-RS012-ST001,USU-2011VP-RS012-ST001-MA044,humanobservation,2009-05,animalia,Siganus vulpinus,species,,5.8837222,95.259,WGS84,ID,,0.01,individu/m2,present,Allen et  al (2003),
USU-2011VP-RS012-ST001,USU-2011VP-RS012-ST001-MA045,humanobservation,2009-05,animalia,Sufflamen sp,genus,,5.8837222,95.259,WGS84,ID,,0.105,individu/m2,present,Allen et  al (2003),
USU-2011VP-RS012-ST001,USU-2011VP-RS012-ST001-MA046,humanobservation,2009-05,animalia,Thalassoma jansenii,species,,5.8837222,95.259,WGS84,ID,,0.055,individu/m2,present,Allen et  al (2003),
USU-2011VP-RS012-ST001,USU-2011VP-RS012-ST001-MA047,humanobservation,2009-05,animalia,Valenciennea sp,genus,,5.8837222,95.259,WGS84,ID,,0.16,individu/m2,present,Allen et  al (2003),
USU-2011VP-RS012-ST001,USU-2011VP-RS012-ST001-MA048,humanobservation,2009-05,animalia,Zanclus comutus,species,,5.8837222,95.259,WGS84,ID,,0.105,individu/m2,present,Allen et  al (2003),
USU-2011VP-RS012-ST001,USU-2011VP-RS012-ST001-MA049,humanobservation,2009-05,animalia,Zebrasoma rostratum,species,,5.8837222,95.259,WGS84,ID,,0.03,individu/m2,present,Allen et  al (2003),
USU-2011VP-RS012-ST001,USU-2011VP-RS012-ST001-MA050,humanobservation,2009-05,animalia,Zebrasoma scopas,species,,5.8837222,95.259,WGS84,ID,,0.03,individu/m2,present,Allen et  al (2003),
USU-2011VP-RS012-ST002,USU-2011VP-RS012-ST002-MA001,humanobservation,2009-05,animalia,Abudefduf notatus,species,,5.8757778,95.2596667,WGS84,ID,,0.115,individu/m2,present,Allen et  al (2003),
USU-2011VP-RS012-ST002,USU-2011VP-RS012-ST002-MA002,humanobservation,2009-05,animalia,Acanthurus blochii,species,,5.8757778,95.2596667,WGS84,ID,,0.19,individu/m2,present,Allen et  al (2003),
USU-2011VP-RS012-ST002,USU-2011VP-RS012-ST002-MA003,humanobservation,2009-05,animalia,Acanthurus flowleri,species,,5.8757778,95.2596667,WGS84,ID,,0.075,individu/m2,present,Allen et  al (2003),
USU-2011VP-RS012-ST002,USU-2011VP-RS012-ST002-MA004,humanobservation,2009-05,animalia,Acanthurus grammoptilus,species,,5.8757778,95.2596667,WGS84,ID,,0.14,individu/m2,present,Allen et  al (2003),
USU-2011VP-RS012-ST002,USU-2011VP-RS012-ST002-MA005,humanobservation,2009-05,animalia,Acanthurus leucocheilus,species,,5.8757778,95.2596667,WGS84,ID,,0.07,individu/m2,present,Allen et  al (2003),
USU-2011VP-RS012-ST002,USU-2011VP-RS012-ST002-MA006,humanobservation,2009-05,animalia,Acanthurus leucosternon,species,,5.8757778,95.2596667,WGS84,ID,,0.185,individu/m2,present,Allen et  al (2003),
USU-2011VP-RS012-ST002,USU-2011VP-RS012-ST002-MA007,humanobservation,2009-05,animalia,Acanthurus lineatus,species,,5.8757778,95.2596667,WGS84,ID,,0.115,individu/m2,present,Allen et  al (2003),
