eventID,occurrenceID,basisOfRecord,eventDate,kingdom,scientificName,taxonRank,vernacularName,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,remarks
IPB-2017FK-MF014-HH002,IPB-2017FK-MF014-HH002-VE035,Human Observation,2014-05/2014-06,Animalia,Rhacoporus reinwardtii,Species,Katak pohon hijau,,,,ID,2,Individuals,,Present,No individual count
IPB-2016AP-MF015-TR001,IPB-2016AP-MF015-TR001-VE001,Human Observation,2014-05/2014-06,Animalia,Duttaphyrynus melanostictus,Species,Kodok buduk,,,,ID,,,,Present,No individual count
IPB-2016AP-MF015-TR001,IPB-2016AP-MF015-TR001-VE002,Human Observation,2014-05/2014-06,Animalia,Ingerophyrnus biporcatus,Species,Kodok puru hutan,,,,ID,,,,Present,No individual count
IPB-2016AP-MF015-TR001,IPB-2016AP-MF015-TR001-VE003,Human Observation,2014-05/2014-06,Animalia,Fejervarya cancrivora,Species,Katak sawah,,,,ID,,,,Present,No individual count
IPB-2016AP-MF015-TR001,IPB-2016AP-MF015-TR001-VE004,Human Observation,2014-05/2014-06,Animalia,Fejervarya limnocharis,Species,Katak tegalan,,,,ID,,,,Present,No individual count
IPB-2016AP-MF015-TR001,IPB-2016AP-MF015-TR001-VE005,Human Observation,2014-05/2014-06,Animalia,Limnonectes microdiscus,Species,Bangkong kerdil,,,,ID,,,,Present,No individual count
IPB-2016AP-MF015-TR001,IPB-2016AP-MF015-TR001-VE006,Human Observation,2014-05/2014-06,Animalia,Polypedates leucomystax,Species,Katak pohon bergaris,,,,ID,,,,Present,No individual count
IPB-2016AP-MF015-TR001,IPB-2016AP-MF015-TR001-VE007,Human Observation,2014-05/2014-06,Animalia,Hylarana chalconata,Species,Kongkang kolam,,,,ID,,,,Present,No individual count
IPB-2016AP-MF015-TR001,IPB-2016AP-MF015-TR001-VE008,Human Observation,2014-05/2014-06,Animalia,Leptobrachium hasseltii,Species,Katak serasah,,,,ID,,,,Present,No individual count
IPB-2016AP-MF015-TR001,IPB-2016AP-MF015-TR001-VE009,Human Observation,2014-05/2014-06,Animalia,Cytodactylus marmoratus,Species,Cecak batu,,,,ID,,,,Present,No individual count
IPB-2016AP-MF015-TR001,IPB-2016AP-MF015-TR001-VE010,Human Observation,2014-05/2014-06,Animalia,Gekko gecko,Species,Tokek,,,,ID,,,,Present,No individual count
IPB-2016AP-MF015-TR001,IPB-2016AP-MF015-TR001-VE011,Human Observation,2014-05/2014-06,Animalia,Hemidactylus frenatus,Species,Cecak kayu,,,,ID,,,,Present,No individual count
IPB-2016AP-MF015-TR001,IPB-2016AP-MF015-TR001-VE012,Human Observation,2014-05/2014-06,Animalia,Bronchocela jubata,Species,Bunglon surai,,,,ID,,,,Present,No individual count
IPB-2016AP-MF015-TR001,IPB-2016AP-MF015-TR001-VE013,Human Observation,2014-05/2014-06,Animalia,Lycodon subcinctus,Species,Ular cecak belang,,,,ID,,,,Present,No individual count
IPB-2016AP-MF015-AK002,IPB-2016AP-MF015-AK002-VE014,Human Observation,2014-05/2014-06,Animalia,Duttaphyrynus melanostictus,Species,Kodok buduk,,,,ID,,,,Present,No individual count
IPB-2016AP-MF015-AK002,IPB-2016AP-MF015-AK002-VE015,Human Observation,2014-05/2014-06,Animalia,Ingerophyrnus biporcatus,Species,Kodok puru hutan,,,,ID,,,,Present,No individual count
IPB-2016AP-MF015-AK002,IPB-2016AP-MF015-AK002-VE016,Human Observation,2014-05/2014-06,Animalia,Fejervarya cancrivora,Species,Katak sawah,,,,ID,,,,Present,No individual count
IPB-2016AP-MF015-AK002,IPB-2016AP-MF015-AK002-VE017,Human Observation,2014-05/2014-06,Animalia,Fejervarya limnocharis,Species,Katak tegalan,,,,ID,,,,Present,No individual count
IPB-2016AP-MF015-AK002,IPB-2016AP-MF015-AK002-VE018,Human Observation,2014-05/2014-06,Animalia,Limnonectes microdiscus,Species,Bangkong kerdil,,,,ID,,,,Present,No individual count
IPB-2016AP-MF015-AK002,IPB-2016AP-MF015-AK002-VE019,Human Observation,2014-05/2014-06,Animalia,Polypedates leucomystax,Species,Katak pohon bergaris,,,,ID,,,,Present,No individual count
IPB-2016AP-MF015-AK002,IPB-2016AP-MF015-AK002-VE020,Human Observation,2014-05/2014-06,Animalia,Bungarus candidus,Species,Ular weling,,,,ID,,,,Present,No individual count
IPB-2016AP-MF015-AK002,IPB-2016AP-MF015-AK002-VE021,Human Observation,2014-05/2014-06,Animalia,Gekko gecko,Species,Tokek,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-AR001,IPB-2015YM-MF016-AR001-VE022,Human Observation,2014-05-20/2014-05-27,Animalia,Ingerphynus divergens,Species,,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-AR001,IPB-2015YM-MF016-AR001-VE023,Human Observation,2014-05-20/2014-05-27,Animalia,Fejervarya cancrivora,Species,Katak sawah,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-AR001,IPB-2015YM-MF016-AR001-VE024,Human Observation,2014-05-20/2014-05-27,Animalia,Limnonectes malesianus,Species,,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-AR001,IPB-2015YM-MF016-AR001-VE025,Human Observation,2014-05-20/2014-05-27,Animalia,Limnonectes paramcarodon,Species,,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-AR001,IPB-2015YM-MF016-AR001-VE026,Human Observation,2014-05-20/2014-05-27,Animalia,Meristogenys phaeomerus,Species,,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-PS002,IPB-2015YM-MF016-PS002-VE027,Human Observation,2014-05-20/2014-05-27,Animalia,Ingerophrynus biporcatus,Species,Kodok puru hutan,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-PS002,IPB-2015YM-MF016-PS002-VE028,Human Observation,2014-05-20/2014-05-27,Animalia,Phrynoidis asper,Species,,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-PS002,IPB-2015YM-MF016-PS002-VE029,Human Observation,2014-05-20/2014-05-27,Animalia,Fejervarya cancrivora,Species,Katak sawah,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-PS002,IPB-2015YM-MF016-PS002-VE030,Human Observation,2014-05-20/2014-05-27,Animalia,Fejervarya limnocharis,Species,Katak tegalan,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-PS002,IPB-2015YM-MF016-PS002-VE031,Human Observation,2014-05-20/2014-05-27,Animalia,Limnonectes malesianus,Species,,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-PS002,IPB-2015YM-MF016-PS002-VE032,Human Observation,2014-05-20/2014-05-27,Animalia,Limnonectes paramacrodon,Species,,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-PS002,IPB-2015YM-MF016-PS002-VE033,Human Observation,2014-05-20/2014-05-27,Animalia,Hylarana chalconata,Species,Kongkam kolam,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-PS002,IPB-2015YM-MF016-PS002-VE034,Human Observation,2014-05-20/2014-05-27,Animalia,Polypedates leucomystax,Species,Katak pohon bergaris,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-PS002,IPB-2015YM-MF016-PS002-VE035,Human Observation,2014-05-20/2014-05-27,Animalia,Polypedates otilophus,Species,,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-PJ003,IPB-2015YM-MF016-PJ003-VE036,Human Observation,2014-05-20/2014-05-27,Animalia,Ansonia leptopus,Species,,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-PJ003,IPB-2015YM-MF016-PJ003-VE037,Human Observation,2014-05-20/2014-05-27,Animalia,Ansonia spinulifer,Species,,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-PJ003,IPB-2015YM-MF016-PJ003-VE038,Human Observation,2014-05-20/2014-05-27,Animalia,Fejervarya limnocharis,Species,Katak tegalan,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-PJ003,IPB-2015YM-MF016-PJ003-VE039,Human Observation,2014-05-20/2014-05-27,Animalia,Limnonectes paramacrodon,Species,,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-PJ003,IPB-2015YM-MF016-PJ003-VE040,Human Observation,2014-05-20/2014-05-27,Animalia,Hylarana chalconata,Species,Kongkam kolam,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-PJ003,IPB-2015YM-MF016-PJ003-VE041,Human Observation,2014-05-20/2014-05-27,Animalia,Meristogenys phaeomerus,Species,,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-PJ003,IPB-2015YM-MF016-PJ003-VE042,Human Observation,2014-05-20/2014-05-27,Animalia,Nyxtixalus pictus,Species,,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-PJ003,IPB-2015YM-MF016-PJ003-VE043,Human Observation,2014-05-20/2014-05-27,Animalia,Polypedates macrotis,Species,Katak pohon bertelinga gelap,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-PJ003,IPB-2015YM-MF016-PJ003-VE044,Human Observation,2014-05-20/2014-05-27,Animalia,Rhacoporus pardalis,Species,,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-PS004,IPB-2015YM-MF016-PJ003-VE045,Human Observation,2014-05-20/2014-05-27,Animalia,Ingerophrynus divergens,Species,,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-PS004,IPB-2015YM-MF016-PJ003-VE046,Human Observation,2014-05-20/2014-05-27,Animalia,Fejervarya limnocharis,Species,Katak tegalan,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-PS004,IPB-2015YM-MF016-PJ003-VE047,Human Observation,2014-05-20/2014-05-27,Animalia,Leptolalax gracilis,Species,,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-PS004,IPB-2015YM-MF016-PJ003-VE048,Human Observation,2014-05-20/2014-05-27,Animalia,Microhyla borneensis,Species,,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-PS004,IPB-2015YM-MF016-PJ003-VE049,Human Observation,2014-05-20/2014-05-27,Animalia,Hylarana baramica,Species,Kongkang baram,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-PS004,IPB-2015YM-MF016-PJ003-VE050,Human Observation,2014-05-20/2014-05-27,Animalia,Hylarana chalconata,Species,,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-PS004,IPB-2015YM-MF016-PJ003-VE051,Human Observation,2014-05-20/2014-05-27,Animalia,Hylarana glandulosa,Species,,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-PS004,IPB-2015YM-MF016-PJ003-VE052,Human Observation,2014-05-20/2014-05-27,Animalia,Polypedates leucomystax,Species,Katak pohon bergaris,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-PS004,IPB-2015YM-MF016-PJ003-VE053,Human Observation,2014-05-20/2014-05-27,Animalia,Polypedates macrotis,Species,Katak pohon bertelinga gelap,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-PS004,IPB-2015YM-MF016-PJ003-VE054,Human Observation,2014-05-20/2014-05-27,Animalia,Polypedates otilophus,Species,,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-SL005,IPB-2015YM-MF016-SL005-VE0060,Human Observation,2014-05-20/2014-05-27,Animalia,Phrynoidis asper,Species,,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-SL005,IPB-2015YM-MF016-SL005-VE0061,Human Observation,2014-05-20/2014-05-27,Animalia,Limnonectes paramacrodon,Species,,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-SL005,IPB-2015YM-MF016-SL005-VE0062,Human Observation,2014-05-20/2014-05-27,Animalia,Hylarana baramica,Species,Kongkang baram,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-SL005,IPB-2015YM-MF016-SL005-VE0063,Human Observation,2014-05-20/2014-05-27,Animalia,Hylarana chalconata,Species,Kongkam kolam,,,,ID,,,,Present,No individual count
